packageId,bucket,cost,bestObserved,firstObserved,endDate,eventSlug,asset,source,gateOk,availableSize,minShares,payoutMultiple
fifwc-ger-civ-2026-06-20-more-markets::YES-2496973+NO-2496974,1.25-2.00,1.25,2026-06-20T19:53:37.512000Z,2026-06-18T04:14:26.801000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,10.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2585443+NO-2585445,1.005-1.02,1.006,2026-06-20T19:54:00.228000Z,2026-06-19T08:24:54.488000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,5.0,50.0,1
fifwc-esp-ksa-2026-06-21-more-markets::YES-2326448+NO-2585418,1.25-2.00,1.7999999999999998,2026-06-20T19:55:44.518000Z,2026-06-19T04:30:55.146000Z,2026-06-21T16:00:00Z,fifwc-esp-ksa-2026-06-21-more-markets,SOCCER,middle_or_snapshot_audit,False,29.99,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2496972+NO-2496974,1.25-2.00,1.54,2026-06-20T19:58:08.092000Z,2026-06-18T04:14:26.801000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,15.0,10.0,2
mlb-sd-tex-2026-06-20::YES-2610275+NO-2610278,1.25-2.00,1.3900000000000001,2026-06-20T19:59:01.975000Z,2026-06-20T08:34:00.926000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,400.0,10.0,1
mlb-sd-tex-2026-06-20::YES-2610274+NO-2610278,1.25-2.00,1.51,2026-06-20T19:59:01.976000Z,2026-06-20T15:30:00.140000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,340.47,10.0,1
mlb-sd-tex-2026-06-20::YES-2610274+NO-2610277,1.25-2.00,1.4,2026-06-20T19:59:24.169000Z,2026-06-20T15:30:00.140000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,340.47,10.0,1
mlb-sd-tex-2026-06-20::YES-2610275+NO-2610277,1.25-2.00,1.28,2026-06-20T19:59:24.169000Z,2026-06-20T08:34:00.926000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,400.0,10.0,1
solana-above-on-june-23-2026::YES-2566549+NO-2566564,1.25-2.00,1.992,2026-06-20T20:00:11.537000Z,2026-06-20T05:32:22.772000Z,2026-06-23T16:00:00Z,solana-above-on-june-23-2026,SOL,middle_or_snapshot_audit,False,20.1,7.5,
mlb-wsh-tb-2026-06-20::YES-2614458+NO-2614462,1.25-2.00,1.47,2026-06-20T20:02:00.125000Z,2026-06-20T18:22:52.051000Z,2026-06-20T20:10:00Z,mlb-wsh-tb-2026-06-20,MLB,middle_or_snapshot_audit,False,250.0,10.0,2
fifwc-esp-ksa-2026-06-21-more-markets::YES-2326444+NO-2585407,1.005-1.02,1.008,2026-06-20T20:04:04.679000Z,2026-06-20T14:20:46.467000Z,2026-06-21T16:00:00Z,fifwc-esp-ksa-2026-06-21-more-markets,SOCCER,middle_or_snapshot_audit,False,10.0,222.24,1
fifwc-esp-ksa-2026-06-21-more-markets::YES-2326446+NO-2585407,1.000-1.005,1.004,2026-06-20T20:05:23.184000Z,2026-06-20T14:20:46.468000Z,2026-06-21T16:00:00Z,fifwc-esp-ksa-2026-06-21-more-markets,SOCCER,middle_or_snapshot_audit,False,10.0,400.0,1
